count,failure_category,count_value,rate_over_all_episodes
0,gripper_never_closed,1,0.008333333333333333
0,insufficient_push_distance,1,0.008333333333333333
0,lateral_push_error,1,0.008333333333333333
0,recovery_limit,2,0.016666666666666666
0,wrong_object_contact,1,0.008333333333333333
1,lateral_push_error,1,0.008333333333333333
1,ood_target_selection_failure,3,0.025
2,insufficient_lift,1,0.008333333333333333
2,insufficient_push_distance,1,0.008333333333333333
2,lateral_push_error,1,0.008333333333333333
2,ood_distractor_contact,1,0.008333333333333333
2,ood_target_selection_failure,3,0.025
2,target_not_contacted,1,0.008333333333333333
3,insufficient_push_distance,1,0.008333333333333333
3,lateral_push_error,1,0.008333333333333333
3,ood_distractor_contact,1,0.008333333333333333
3,ood_target_selection_failure,4,0.03333333333333333
3,recovery_limit,1,0.008333333333333333
3,target_not_contacted,1,0.008333333333333333
